asset_id,asset_name,asset_type,building_id,floor,installation_date,operating_hours,temperature,vibration,pressure,energy_consumption,last_maintenance_date,maintenance_count,failure_count,current_status,health_score,next_maintenance_due
AHU-B32017,Air Handling Unit #017,Air Handling Unit,B3,2,2020-08-06,17669,36.3,0.96,54.0,38.7,2026-02-09,4,3,Warning,67.8,2026-09-08
CHILL-B32018,Chiller #018,Chiller,B3,2,2019-05-03,13577,32.6,1.02,49.8,37.1,2026-01-02,4,2,Good,76.8,2026-11-25
HVAC-B35019,HVAC Unit #019,HVAC Unit,B3,5,2019-02-07,18315,51.7,1.97,56.9,27.6,2026-03-20,1,3,Warning,55.8,2026-09-06
PUMP-B33020,Water Pump #020,Water Pump,B3,3,2021-04-12,14257,39.1,1.19,43.6,27.1,2026-06-13,13,4,Warning,66.1,2026-08-01
CHILL-B33021,Chiller #021,Chiller,B3,3,2024-04-12,16008,41.5,1.34,45.0,44.5,2026-07-11,20,5,Warning,59.4,2026-08-11
PUMP-B13022,Water Pump #022,Water Pump,B1,3,2024-08-08,17077,33.6,1.37,56.9,42.7,2026-06-28,13,5,Warning,58.4,2026-08-12
CTWR-B25023,Cooling Tower #023,Cooling Tower,B2,5,2020-12-05,18241,63.6,3.06,61.9,54.7,2026-06-18,19,6,Critical,18.5,2026-09-03
COMP-B14024,Compressor #024,Compressor,B1,4,2024-09-08,9174,45.2,0.76,49.0,35.6,2026-02-11,7,1,Good,85.9,2026-12-25
ELEV-B13025,Elevator #025,Elevator,B1,3,2024-08-22,5233,86.9,7.46,76.9,90.6,2026-05-25,22,2,Critical,19.9,2026-08-11
PUMP-B24026,Water Pump #026,Water Pump,B2,4,2024-11-26,15518,37.8,0.8,47.4,31.5,2026-02-24,8,1,Good,79.9,2026-09-19
PUMP-B13027,Water Pump #027,Water Pump,B1,3,2022-10-24,1255,35.8,1.3,48.8,37.5,2026-07-22,10,0,Healthy,98.8,2026-10-17
GEN-B14028,Generator #028,Generator,B1,4,2019-09-28,16293,60.0,3.24,57.2,50.3,2026-03-05,11,1,Critical,47.9,2026-08-10
PUMP-B25029,Water Pump #029,Water Pump,B2,5,2024-02-09,16872,37.8,2.34,42.9,38.7,2026-02-27,21,6,Critical,46.4,2026-08-14
GEN-B31030,Generator #030,Generator,B3,1,2020-08-24,14038,49.0,2.38,50.8,23.1,2026-06-16,10,6,Critical,44.5,2026-09-13
CTWR-B21031,Cooling Tower #031,Cooling Tower,B2,1,2023-12-10,10452,61.7,3.06,60.1,62.8,2026-07-02,7,5,Critical,33.2,2026-09-08
AHU-B32032,Air Handling Unit #032,Air Handling Unit,B3,2,2022-12-16,10738,47.0,1.92,42.1,36.0,2026-05-04,5,1,Good,78.8,2026-10-13
CTWR-B32033,Cooling Tower #033,Cooling Tower,B3,2,2019-02-12,16727,42.3,1.21,48.9,16.9,2026-06-13,6,0,Good,83.7,2026-10-02
CHILL-B14034,Chiller #034,Chiller,B1,4,2022-05-23,6852,45.8,2.03,52.5,37.7,2026-07-27,21,5,Warning,62.9,2026-09-05
COMP-B21035,Compressor #035,Compressor,B2,1,2019-02-03,5199,42.2,0.64,51.2,30.9,2026-03-23,16,5,Warning,69.9,2026-08-13
AHU-B24036,Air Handling Unit #036,Air Handling Unit,B2,4,2024-12-14,10976,33.3,2.24,54.7,18.1,2026-07-23,19,1,Good,78.0,2026-09-13
COMP-B15037,Compressor #037,Compressor,B1,5,2023-09-23,5266,58.1,4.0,37.2,62.1,2026-07-11,7,5,Critical,34.2,2026-08-01
AHU-B32038,Air Handling Unit #038,Air Handling Unit,B3,2,2024-03-03,9613,84.1,6.87,58.3,94.6,2026-01-08,2,3,Critical,10.6,2026-09-01
ELEV-B35039,Elevator #039,Elevator,B3,5,2022-03-19,17270,71.9,4.01,50.4,65.9,2026-06-27,11,4,Critical,12.3,2026-08-04
HVAC-B12040,HVAC Unit #040,HVAC Unit,B1,2,2021-04-05,8279,46.6,1.36,50.8,20.6,2026-06-06,19,2,Good,80.2,2026-12-15
CHILL-B24041,Chiller #041,Chiller,B2,4,2024-03-18,7876,51.9,1.85,45.1,24.3,2026-06-21,3,5,Warning,56.8,2026-08-07
AHU-B24042,Air Handling Unit #042,Air Handling Unit,B2,4,2022-01-20,9310,34.2,1.59,43.1,33.1,2026-03-11,3,2,Good,80.2,2026-11-05
GEN-B21043,Generator #043,Generator,B2,1,2019-07-08,13607,76.9,8.55,40.7,112.1,2026-01-17,4,8,Critical,5.0,2026-09-12
ELEV-B33044,Elevator #044,Elevator,B3,3,2023-02-02,6795,38.9,1.93,57.5,29.5,2026-05-28,11,6,Warning,59.7,2026-09-08
AHU-B21045,Air Handling Unit #045,Air Handling Unit,B2,1,2024-09-23,6295,43.4,1.08,56.7,33.1,2026-03-23,22,1,Healthy,88.9,2026-10-22
CTWR-B34046,Cooling Tower #046,Cooling Tower,B3,4,2020-08-12,16557,40.6,2.3,56.1,38.9,2026-03-21,17,2,Warning,67.1,2026-08-05
CTWR-B21047,Cooling Tower #047,Cooling Tower,B2,1,2024-02-03,9065,33.7,1.11,56.9,38.7,2026-01-14,3,1,Good,86.2,2026-10-16
COMP-B35048,Compressor #048,Compressor,B3,5,2024-02-13,1655,67.7,4.23,58.1,67.7,2026-02-24,20,1,Critical,45.2,2026-08-10
COMP-B15049,Compressor #049,Compressor,B1,5,2020-03-03,13227,33.0,1.49,44.7,44.0,2026-03-22,5,4,Warning,67.1,2026-08-14
CHILL-B23050,Chiller #050,Chiller,B2,3,2022-05-09,8181,39.9,2.26,56.9,43.7,2026-05-27,1,5,Warning,60.6,2026-08-15
COMP-B34051,Compressor #051,Compressor,B3,4,2019-06-01,16284,32.1,2.2,45.0,23.7,2026-01-14,11,2,Warning,68.2,2026-09-04
CHILL-B35052,Chiller #052,Chiller,B3,5,2020-07-04,17171,37.0,1.45,48.0,24.0,2026-02-18,1,1,Good,78.3,2026-11-04
COMP-B34053,Compressor #053,Compressor,B3,4,2020-03-12,15420,67.1,3.02,41.4,49.9,2026-04-24,1,2,Critical,37.8,2026-09-15
HVAC-B12054,HVAC Unit #054,HVAC Unit,B1,2,2022-11-09,5092,48.0,1.89,47.2,37.2,2026-04-17,14,3,Good,73.4,2026-12-05
CHILL-B11055,Chiller #055,Chiller,B1,1,2020-03-12,17584,33.0,2.09,48.9,31.7,2026-01-14,1,6,Critical,47.9,2026-09-05
ELEV-B21056,Elevator #056,Elevator,B2,1,2022-04-20,6196,47.3,2.16,57.9,20.2,2026-07-14,17,1,Good,80.8,2026-10-16
CHILL-B35057,Chiller #057,Chiller,B3,5,2023-03-07,6073,32.8,2.38,56.9,26.1,2026-05-07,8,0,Good,86.6,2026-09-28
HVAC-B24058,HVAC Unit #058,HVAC Unit,B2,4,2023-05-23,8783,33.2,1.37,42.8,15.6,2026-03-09,8,2,Good,81.5,2026-11-23
CTWR-B13059,Cooling Tower #059,Cooling Tower,B1,3,2019-03-02,1217,36.2,1.45,56.5,15.3,2026-02-09,2,5,Good,73.8,2026-12-12
PUMP-B21060,Water Pump #060,Water Pump,B2,1,2019-11-01,5469,39.2,2.0,50.5,24.3,2026-06-09,11,2,Good,80.4,2026-10-19
CTWR-B11061,Cooling Tower #061,Cooling Tower,B1,1,2020-11-24,5143,92.4,8.96,32.3,95.6,2026-01-18,2,5,Critical,5.0,2026-09-05
COMP-B15062,Compressor #062,Compressor,B1,5,2024-03-02,5388,37.1,2.18,55.7,41.9,2026-03-12,7,3,Good,74.0,2026-12-21
CHILL-B21063,Chiller #063,Chiller,B2,1,2022-07-17,17710,45.9,0.83,42.7,30.7,2026-07-23,1,1,Good,76.8,2026-10-24
CTWR-B25064,Cooling Tower #064,Cooling Tower,B2,5,2023-02-06,15544,39.8,1.69,45.3,12.1,2026-05-07,17,3,Warning,68.3,2026-08-15
COMP-B35065,Compressor #065,Compressor,B3,5,2021-05-28,8419,34.4,1.0,50.5,21.6,2026-06-05,10,5,Warning,66.8,2026-09-15
AHU-B21066,Air Handling Unit #066,Air Handling Unit,B2,1,2024-04-27,8080,38.9,1.69,47.9,14.7,2026-06-18,18,0,Healthy,90.5,2026-11-24
AHU-B25067,Air Handling Unit #067,Air Handling Unit,B2,5,2021-06-02,1541,37.6,1.06,42.3,33.7,2026-07-25,12,1,Healthy,93.5,2026-09-24
CTWR-B33068,Cooling Tower #068,Cooling Tower,B3,3,2024-11-20,7955,36.1,1.73,55.7,25.1,2026-04-08,15,1,Good,85.3,2026-12-12
AHU-B21069,Air Handling Unit #069,Air Handling Unit,B2,1,2022-03-15,7262,50.9,0.92,46.5,22.2,2026-02-27,6,1,Good,81.4,2026-12-22
GEN-B12070,Generator #070,Generator,B1,2,2019-07-08,16110,42.5,1.91,54.9,31.9,2026-04-13,21,3,Warning,65.8,2026-08-02
HVAC-B31071,HVAC Unit #071,HVAC Unit,B3,1,2020-04-25,3939,86.2,8.85,18.7,110.8,2026-06-27,9,4,Critical,11.2,2026-09-14
CHILL-B12072,Chiller #072,Chiller,B1,2,2022-10-15,6545,36.9,1.58,46.3,29.9,2026-01-27,10,2,Good,83.0,2026-09-04
ELEV-B15073,Elevator #073,Elevator,B1,5,2022-03-01,8550,34.9,1.78,45.6,41.0,2026-04-22,1,1,Good,84.3,2026-09-16
AHU-B12074,Air Handling Unit #074,Air Handling Unit,B1,2,2019-05-12,3699,50.5,2.26,56.3,31.9,2026-02-14,20,2,Good,73.9,2026-11-20
AHU-B34075,Air Handling Unit #075,Air Handling Unit,B3,4,2020-11-22,11081,49.5,1.09,50.0,24.2,2026-03-26,20,6,Warning,54.3,2026-08-13
HVAC-B12076,HVAC Unit #076,HVAC Unit,B1,2,2021-03-13,15837,43.6,2.33,46.5,15.0,2026-02-06,16,6,Critical,47.5,2026-09-06
PUMP-B24077,Water Pump #077,Water Pump,B2,4,2022-12-14,12126,93.3,6.96,58.7,99.7,2026-05-18,5,8,Critical,5.0,2026-08-07
CHILL-B34078,Chiller #078,Chiller,B3,4,2023-10-25,8387,36.1,2.13,47.8,27.6,2026-02-04,3,1,Good,81.5,2026-09-12
PUMP-B13079,Water Pump #079,Water Pump,B1,3,2022-03-27,14997,55.9,3.08,68.5,66.4,2026-04-24,8,1,Warning,55.0,2026-08-12
CTWR-B21080,Cooling Tower #080,Cooling Tower,B2,1,2024-02-22,3617,35.2,0.86,44.3,20.1,2026-01-19,16,6,Warning,66.5,2026-09-03
AHU-B22081,Air Handling Unit #081,Air Handling Unit,B2,2,2024-09-23,11014,40.9,1.76,42.2,15.7,2026-01-21,16,3,Good,72.1,2026-09-20
AHU-B32082,Air Handling Unit #082,Air Handling Unit,B3,2,2019-07-27,15081,48.6,2.25,50.0,35.4,2026-04-06,22,3,Warning,60.0,2026-09-02
CTWR-B12083,Cooling Tower #083,Cooling Tower,B1,2,2022-10-02,8373,71.6,4.01,33.1,66.1,2026-04-11,13,1,Critical,36.3,2026-09-14
CTWR-B11084,Cooling Tower #084,Cooling Tower,B1,1,2021-11-14,7580,39.3,2.0,47.4,19.9,2026-02-18,9,0,Healthy,88.4,2026-09-03
GEN-B31085,Generator #085,Generator,B3,1,2021-04-18,7810,33.7,1.63,42.7,44.6,2026-04-02,21,0,Healthy,91.3,2026-09-11
CHILL-B21086,Chiller #086,Chiller,B2,1,2021-05-13,17591,46.5,2.35,53.2,15.2,2026-04-24,7,2,Warning,64.0,2026-08-09
AHU-B15087,Air Handling Unit #087,Air Handling Unit,B1,5,2022-08-19,2425,41.3,2.19,43.5,35.7,2026-02-26,10,1,Good,86.8,2026-10-25
AHU-B35088,Air Handling Unit #088,Air Handling Unit,B3,5,2024-10-21,18347,60.8,3.52,64.2,58.5,2026-06-25,11,3,Critical,32.6,2026-09-04
GEN-B35089,Generator #089,Generator,B3,5,2019-03-19,17502,47.3,1.16,55.9,38.3,2026-01-16,4,6,Warning,50.4,2026-08-08
PUMP-B13090,Water Pump #090,Water Pump,B1,3,2020-02-09,13105,46.2,1.43,57.8,44.3,2026-07-15,12,0,Good,85.9,2026-10-04
COMP-B13091,Compressor #091,Compressor,B1,3,2021-07-14,5426,44.5,1.16,43.3,25.6,2026-04-09,15,2,Good,84.7,2026-09-20
HVAC-B32092,HVAC Unit #092,HVAC Unit,B3,2,2024-09-01,6264,43.4,2.14,45.6,40.8,2026-06-03,4,2,Good,78.5,2026-11-15
COMP-B35093,Compressor #093,Compressor,B3,5,2022-02-03,7107,36.0,1.19,47.1,44.9,2026-04-07,4,3,Good,78.1,2026-12-04
ELEV-B21094,Elevator #094,Elevator,B2,1,2023-03-16,5968,32.6,1.68,48.1,42.9,2026-03-26,21,1,Good,87.7,2026-12-16
GEN-B12095,Generator #095,Generator,B1,2,2019-11-14,10042,34.8,1.09,43.3,40.8,2026-04-28,9,5,Warning,65.2,2026-09-09
GEN-B33096,Generator #096,Generator,B3,3,2020-01-03,15242,36.0,2.3,49.7,29.7,2026-07-06,11,6,Critical,48.4,2026-09-06
CTWR-B15097,Cooling Tower #097,Cooling Tower,B1,5,2023-04-03,5938,93.7,8.62,72.5,89.9,2026-04-05,11,6,Critical,5.0,2026-09-14
PUMP-B14098,Water Pump #098,Water Pump,B1,4,2021-09-24,1320,65.8,4.08,53.1,47.1,2026-06-07,15,6,Critical,23.9,2026-09-12
AHU-B34099,Air Handling Unit #099,Air Handling Unit,B3,4,2020-06-07,7463,81.1,6.87,40.3,89.5,2026-06-16,22,5,Critical,5.0,2026-09-07
CTWR-B23100,Cooling Tower #100,Cooling Tower,B2,3,2023-07-17,12204,39.5,1.59,44.6,26.4,2026-03-28,4,1,Good,82.4,2026-12-21
ELEV-B35101,Elevator #101,Elevator,B3,5,2019-02-26,4601,50.6,0.79,54.0,32.6,2026-05-04,3,5,Warning,64.4,2026-09-09
HVAC-B33102,HVAC Unit #102,HVAC Unit,B3,3,2022-04-08,16097,49.1,2.31,47.6,38.2,2026-04-14,18,3,Warning,57.9,2026-09-01
PUMP-B15103,Water Pump #103,Water Pump,B1,5,2021-05-22,9867,70.5,4.15,30.2,72.4,2026-01-01,10,6,Critical,9.8,2026-08-03
PUMP-B35104,Water Pump #104,Water Pump,B3,5,2021-06-06,15290,77.2,8.16,79.3,111.3,2026-04-05,8,7,Critical,5.0,2026-09-12
AHU-B23105,Air Handling Unit #105,Air Handling Unit,B2,3,2023-03-14,8768,63.6,4.06,61.4,70.4,2026-06-09,4,5,Critical,24.2,2026-08-06
GEN-B11106,Generator #106,Generator,B1,1,2019-07-01,6215,50.4,0.74,48.1,36.5,2026-02-15,1,4,Warning,68.0,2026-09-03
GEN-B32107,Generator #107,Generator,B3,2,2021-04-18,9236,33.0,0.75,44.3,12.8,2026-05-28,13,6,Warning,61.0,2026-08-02
COMP-B31108,Compressor #108,Compressor,B3,1,2019-03-10,9785,48.9,2.24,45.3,15.3,2026-07-01,6,0,Good,79.9,2026-12-03
COMP-B31109,Compressor #109,Compressor,B3,1,2020-11-14,13496,68.7,3.16,30.4,51.2,2026-05-21,11,5,Critical,21.7,2026-08-02
PUMP-B24110,Water Pump #110,Water Pump,B2,4,2023-10-18,1364,50.5,0.95,42.5,12.8,2026-05-25,6,4,Good,72.6,2026-10-07
PUMP-B12111,Water Pump #111,Water Pump,B1,2,2019-06-05,8401,34.5,1.09,45.2,15.0,2026-06-18,3,5,Warning,66.8,2026-09-08
COMP-B25112,Compressor #112,Compressor,B2,5,2022-04-09,6867,67.2,4.72,34.1,69.0,2026-05-10,7,5,Critical,16.5,2026-08-13
GEN-B34113,Generator #113,Generator,B3,4,2022-08-14,10102,39.7,0.96,47.6,41.6,2026-07-03,11,4,Good,70.2,2026-12-06
HVAC-B33114,HVAC Unit #114,HVAC Unit,B3,3,2023-07-10,12742,48.2,1.37,45.0,20.1,2026-02-22,13,0,Good,84.1,2026-11-12
AHU-B21115,Air Handling Unit #115,Air Handling Unit,B2,1,2019-06-23,1557,47.9,2.22,51.0,24.7,2026-05-07,11,1,Good,84.2,2026-10-04
ELEV-B35116,Elevator #116,Elevator,B3,5,2024-02-19,15019,48.3,0.96,42.8,28.3,2026-01-09,22,6,Warning,51.8,2026-09-02
CHILL-B22117,Chiller #117,Chiller,B2,2,2023-06-19,13745,32.4,2.01,51.2,12.2,2026-04-10,8,4,Warning,62.3,2026-08-14
CTWR-B15118,Cooling Tower #118,Cooling Tower,B1,5,2023-01-11,1733,48.1,1.9,46.4,36.9,2026-04-03,3,3,Good,76.5,2026-11-16
HVAC-B23119,HVAC Unit #119,HVAC Unit,B2,3,2024-08-16,5178,36.5,2.09,44.2,44.8,2026-07-23,12,4,Warning,69.9,2026-09-04
AHU-B12120,Air Handling Unit #120,Air Handling Unit,B1,2,2024-06-27,1361,55.7,2.9,42.2,53.6,2026-06-20,2,2,Warning,65.0,2026-09-05
AHU-B15121,Air Handling Unit #121,Air Handling Unit,B1,5,2022-02-05,11663,49.0,2.21,52.2,34.1,2026-05-17,5,6,Critical,48.2,2026-08-10
COMP-B34122,Compressor #122,Compressor,B3,4,2021-06-25,17017,37.9,0.75,50.9,40.8,2026-06-21,8,0,Good,83.4,2026-10-23
CHILL-B14123,Chiller #123,Chiller,B1,4,2019-04-01,8282,41.8,1.21,55.0,37.1,2026-05-28,15,6,Warning,61.9,2026-09-13
ELEV-B34124,Elevator #124,Elevator,B3,4,2024-03-28,17731,39.3,2.36,55.9,28.9,2026-07-13,4,1,Good,70.4,2026-10-03
ELEV-B22125,Elevator #125,Elevator,B2,2,2024-05-28,4544,67.7,3.28,65.8,51.4,2026-01-16,5,3,Critical,40.5,2026-09-06
ELEV-B15126,Elevator #126,Elevator,B1,5,2019-06-14,8148,42.2,0.7,46.4,15.2,2026-06-13,5,3,Good,77.1,2026-12-07
ELEV-B14127,Elevator #127,Elevator,B1,4,2020-10-09,17374,33.0,1.05,43.8,15.8,2026-01-19,17,3,Warning,68.1,2026-09-04
CHILL-B31128,Chiller #128,Chiller,B3,1,2021-04-20,14456,46.7,2.18,46.3,18.8,2026-07-07,13,3,Warning,63.3,2026-09-11
ELEV-B35129,Elevator #129,Elevator,B3,5,2021-12-01,4288,65.6,4.28,64.1,66.0,2026-02-11,6,4,Critical,29.5,2026-08-03
AHU-B24130,Air Handling Unit #130,Air Handling Unit,B2,4,2020-01-22,16751,51.5,2.19,44.7,37.1,2026-01-20,14,2,Warning,60.7,2026-09-08
HVAC-B22131,HVAC Unit #131,HVAC Unit,B2,2,2022-02-02,1769,91.4,7.62,30.4,82.4,2026-01-10,19,6,Critical,5.0,2026-09-08
COMP-B33132,Compressor #132,Compressor,B3,3,2023-05-22,17141,48.6,1.14,47.3,29.1,2026-06-28,9,2,Warning,69.4,2026-09-02
ELEV-B35133,Elevator #133,Elevator,B3,5,2024-11-01,6046,51.9,1.24,42.5,31.1,2026-06-14,14,6,Warning,56.5,2026-09-04
CHILL-B14134,Chiller #134,Chiller,B1,4,2024-02-09,15921,45.6,2.2,48.3,25.8,2026-03-10,17,1,Good,72.9,2026-10-02
PUMP-B31135,Water Pump #135,Water Pump,B3,1,2022-08-19,12570,84.0,8.35,52.5,82.6,2026-05-18,10,2,Critical,12.8,2026-08-05
COMP-B21136,Compressor #136,Compressor,B2,1,2021-01-15,2541,57.1,3.78,30.2,56.2,2026-07-01,7,2,Warning,54.8,2026-08-05
AHU-B23137,Air Handling Unit #137,Air Handling Unit,B2,3,2023-11-25,6280,51.9,0.95,51.4,14.7,2026-02-02,3,5,Warning,61.3,2026-09-15
PUMP-B14138,Water Pump #138,Water Pump,B1,4,2022-07-04,9760,43.3,1.82,47.2,31.1,2026-06-25,10,4,Warning,67.8,2026-08-05
AHU-B25139,Air Handling Unit #139,Air Handling Unit,B2,5,2020-05-10,4004,83.1,6.04,75.9,112.7,2026-02-17,10,5,Critical,6.1,2026-09-12
PUMP-B33140,Water Pump #140,Water Pump,B3,3,2022-06-14,16487,50.3,0.65,54.3,14.9,2026-02-20,14,3,Warning,63.1,2026-09-13
GEN-B35141,Generator #141,Generator,B3,5,2021-03-20,10812,57.1,4.14,48.5,68.1,2026-05-15,2,6,Critical,23.7,2026-08-02
HVAC-B21142,HVAC Unit #142,HVAC Unit,B2,1,2021-10-04,10721,49.3,0.82,51.4,28.9,2026-06-02,19,3,Warning,69.8,2026-08-09
AHU-B34143,Air Handling Unit #143,Air Handling Unit,B3,4,2020-04-22,6271,51.8,0.61,49.8,34.7,2026-01-03,10,5,Warning,61.4,2026-08-03
CHILL-B31144,Chiller #144,Chiller,B3,1,2020-04-04,16723,39.8,2.27,46.8,28.0,2026-02-27,1,6,Critical,47.2,2026-08-14
ELEV-B34145,Elevator #145,Elevator,B3,4,2024-10-04,15367,34.8,1.94,45.9,28.9,2026-06-18,5,5,Warning,56.3,2026-08-08
COMP-B23146,Compressor #146,Compressor,B2,3,2024-02-19,17353,39.7,2.04,49.4,38.8,2026-02-01,12,5,Warning,53.5,2026-09-08
CHILL-B34147,Chiller #147,Chiller,B3,4,2019-10-10,2316,65.5,2.89,66.3,73.9,2026-04-24,21,5,Critical,38.4,2026-09-05
HVAC-B13148,HVAC Unit #148,HVAC Unit,B1,3,2023-09-07,12630,35.5,0.87,52.5,30.6,2026-04-23,17,3,Good,72.7,2026-10-09
ELEV-B21149,Elevator #149,Elevator,B2,1,2024-08-13,16658,46.2,1.51,52.5,20.6,2026-06-11,20,5,Warning,57.4,2026-09-10
CTWR-B11150,Cooling Tower #150,Cooling Tower,B1,1,2019-12-06,8792,50.7,1.46,54.2,44.4,2026-07-24,4,5,Warning,60.2,2026-08-02
AHU-B34151,Air Handling Unit #151,Air Handling Unit,B3,4,2022-02-02,9407,56.2,4.33,54.3,70.4,2026-02-11,4,0,Warning,54.5,2026-08-12
COMP-B22152,Compressor #152,Compressor,B2,2,2024-10-18,7744,45.6,1.01,53.9,26.3,2026-05-26,7,2,Good,81.8,2026-10-03
HVAC-B31153,HVAC Unit #153,HVAC Unit,B3,1,2020-01-26,5805,43.4,2.16,47.5,34.5,2026-06-21,1,2,Good,78.7,2026-12-07
GEN-B34154,Generator #154,Generator,B3,4,2023-06-12,5717,39.5,0.73,43.3,37.8,2026-03-04,3,3,Good,79.4,2026-09-16
GEN-B15155,Generator #155,Generator,B1,5,2023-06-01,8540,46.1,0.72,55.9,43.9,2026-01-18,10,6,Warning,60.5,2026-08-14
ELEV-B25156,Elevator #156,Elevator,B2,5,2019-09-23,4833,94.7,8.2,20.4,94.5,2026-03-25,19,4,Critical,10.3,2026-08-03
GEN-B33157,Generator #157,Generator,B3,3,2024-01-08,17372,92.9,8.43,74.7,77.6,2026-04-20,3,7,Critical,5.0,2026-08-15
COMP-B13158,Compressor #158,Compressor,B1,3,2024-01-04,2366,39.0,1.46,54.5,40.9,2026-02-01,16,4,Good,77.7,2026-09-01
GEN-B35159,Generator #159,Generator,B3,5,2022-11-22,1792,47.3,1.85,48.9,26.1,2026-02-04,18,3,Good,77.8,2026-12-04
PUMP-B22160,Water Pump #160,Water Pump,B2,2,2021-07-02,9004,36.5,1.95,56.2,38.2,2026-05-02,8,0,Good,87.4,2026-09-28
GEN-B11161,Generator #161,Generator,B1,1,2019-03-15,7117,44.0,2.2,58.0,16.3,2026-04-16,10,0,Good,87.1,2026-09-22
CHILL-B13162,Chiller #162,Chiller,B1,3,2023-04-16,12896,50.8,2.0,46.7,33.6,2026-05-09,8,3,Warning,61.8,2026-09-12
CHILL-B13163,Chiller #163,Chiller,B1,3,2022-12-20,17132,34.7,2.36,45.7,36.5,2026-02-04,9,0,Good,76.0,2026-11-24
AHU-B12164,Air Handling Unit #164,Air Handling Unit,B1,2,2024-08-21,16068,32.7,1.1,48.1,39.3,2026-01-02,4,0,Good,84.4,2026-11-28
CTWR-B21165,Cooling Tower #165,Cooling Tower,B2,1,2022-07-15,2655,45.2,1.56,52.6,13.0,2026-07-12,8,1,Healthy,91.7,2026-09-20
PUMP-B25166,Water Pump #166,Water Pump,B2,5,2020-01-11,15423,46.7,0.7,43.7,24.8,2026-06-22,14,6,Warning,53.1,2026-09-14
COMP-B25167,Compressor #167,Compressor,B2,5,2024-10-25,18203,83.3,9.77,35.6,115.9,2026-07-22,9,3,Critical,5.0,2026-09-02
GEN-B33168,Generator #168,Generator,B3,3,2021-10-13,2465,45.2,2.01,55.0,32.1,2026-01-10,20,2,Good,83.0,2026-11-27
ELEV-B14169,Elevator #169,Elevator,B1,4,2022-01-15,1490,83.6,9.08,34.1,78.6,2026-03-20,15,1,Critical,28.6,2026-09-02
COMP-B13170,Compressor #170,Compressor,B1,3,2021-05-28,17417,34.9,1.71,42.8,15.8,2026-01-06,5,1,Good,76.3,2026-12-19
PUMP-B15171,Water Pump #171,Water Pump,B1,5,2024-04-02,9688,49.1,1.24,53.5,31.8,2026-03-04,9,0,Good,86.1,2026-09-17
COMP-B15172,Compressor #172,Compressor,B1,5,2019-04-07,11875,66.6,2.94,47.1,54.2,2026-01-11,19,2,Critical,42.4,2026-09-06
CTWR-B33173,Cooling Tower #173,Cooling Tower,B3,3,2022-05-20,2220,50.6,2.24,42.4,32.1,2026-07-11,6,2,Good,75.4,2026-11-07
